"administrative_level_2","day","retail_and_recreation","grocery_and_pharmacy","parks","transit_stations","workplaces","residential"
"Alytaus apskr.",2020-02-15,10,6,5,NA,4,NA
"Alytaus apskr.",2020-02-16,14,7,25,NA,8,NA
"Alytaus apskr.",2020-02-17,9,6,16,NA,-14,3
"Alytaus apskr.",2020-02-18,9,10,21,NA,-14,2
"Alytaus apskr.",2020-02-19,9,10,22,NA,-14,1
"Alytaus apskr.",2020-02-20,10,6,17,NA,-16,2
"Alytaus apskr.",2020-02-21,5,2,9,NA,-16,3
"Alytaus apskr.",2020-02-22,5,3,4,NA,0,NA
"Alytaus apskr.",2020-02-23,7,2,7,NA,0,NA
"Alytaus apskr.",2020-02-24,3,8,7,NA,1,0
"Alytaus apskr.",2020-02-25,-2,1,-9,NA,2,0
"Alytaus apskr.",2020-02-26,0,2,12,NA,2,0
"Alytaus apskr.",2020-02-27,5,1,-9,NA,0,0
"Alytaus apskr.",2020-02-28,2,4,2,NA,1,1
"Alytaus apskr.",2020-02-29,0,2,11,NA,4,NA
"Alytaus apskr.",2020-03-01,3,0,16,NA,8,NA
"Alytaus apskr.",2020-03-02,-1,-4,13,NA,3,0
"Alytaus apskr.",2020-03-03,-1,3,19,NA,2,0
"Alytaus apskr.",2020-03-04,3,0,10,NA,2,1
"Alytaus apskr.",2020-03-05,2,1,17,NA,2,0
"Alytaus apskr.",2020-03-06,6,1,23,NA,1,0
"Alytaus apskr.",2020-03-07,4,8,10,NA,4,NA
"Alytaus apskr.",2020-03-08,23,18,17,NA,12,NA
"Alytaus apskr.",2020-03-09,2,1,25,NA,1,0
"Alytaus apskr.",2020-03-10,18,20,38,NA,1,-3
"Alytaus apskr.",2020-03-11,-11,-9,42,NA,-71,18
"Alytaus apskr.",2020-03-12,3,9,-7,NA,-1,1
"Alytaus apskr.",2020-03-13,-3,5,25,NA,-17,5
"Alytaus apskr.",2020-03-14,-17,1,-8,NA,-3,NA
"Alytaus apskr.",2020-03-15,1,17,28,NA,2,NA
"Alytaus apskr.",2020-03-16,-41,-18,12,NA,-32,12
"Alytaus apskr.",2020-03-17,-45,-27,50,NA,-40,13
"Alytaus apskr.",2020-03-18,-46,-26,72,NA,-42,14
"Alytaus apskr.",2020-03-19,-50,-29,30,NA,-45,16
"Alytaus apskr.",2020-03-20,-59,-12,36,NA,-44,16
"Alytaus apskr.",2020-03-21,-68,-24,5,NA,-38,NA
"Alytaus apskr.",2020-03-22,-65,-25,5,NA,-31,NA
"Alytaus apskr.",2020-03-23,-61,-18,32,NA,-44,16
"Alytaus apskr.",2020-03-24,-61,-22,36,NA,-46,17
"Alytaus apskr.",2020-03-25,-62,-28,44,NA,-46,16
"Alytaus apskr.",2020-03-26,-63,-27,47,NA,-47,16
"Alytaus apskr.",2020-03-27,-64,-28,50,-42,-47,17
"Alytaus apskr.",2020-03-28,-68,-33,59,NA,-36,NA
"Alytaus apskr.",2020-03-29,-71,-36,0,-70,-32,NA
"Alytaus apskr.",2020-03-30,-64,-26,14,NA,-47,18
"Alytaus apskr.",2020-03-31,-63,-29,20,NA,-47,18
"Alytaus apskr.",2020-04-01,-67,-30,2,NA,-48,19
"Alytaus apskr.",2020-04-02,-65,-33,4,NA,-49,19
"Alytaus apskr.",2020-04-03,-63,-30,-1,-64,-49,21
"Alytaus apskr.",2020-04-04,-68,-35,4,NA,-38,NA
"Alytaus apskr.",2020-04-05,-62,-25,66,NA,-26,NA
"Alytaus apskr.",2020-04-06,-57,-24,76,NA,-46,15
"Alytaus apskr.",2020-04-07,-55,-16,98,NA,-47,13
"Alytaus apskr.",2020-04-08,-53,-11,85,NA,-48,14
"Alytaus apskr.",2020-04-09,-47,7,42,NA,-48,15
"Alytaus apskr.",2020-04-10,-53,-5,40,-44,-49,18
"Alytaus apskr.",2020-04-11,-71,-34,-4,-65,-41,NA
"Alytaus apskr.",2020-04-12,-90,-93,16,-73,-42,NA
"Alytaus apskr.",2020-04-13,-81,-59,18,NA,-86,NA
"Alytaus apskr.",2020-04-14,-59,-24,18,NA,-49,17
"Alytaus apskr.",2020-04-15,-62,-24,-1,NA,-48,20
"Alytaus apskr.",2020-04-16,-53,-18,16,NA,-48,19
"Alytaus apskr.",2020-04-17,-51,-14,38,-42,-45,17
"Alytaus apskr.",2020-04-18,-58,-24,23,NA,-31,NA
"Alytaus apskr.",2020-04-19,-54,-32,34,NA,-21,NA
"Alytaus apskr.",2020-04-20,-47,-12,49,NA,-45,15
"Alytaus apskr.",2020-04-21,-45,-9,82,NA,-44,13
"Alytaus apskr.",2020-04-22,-45,-11,93,NA,-43,12
"Alytaus apskr.",2020-04-23,-43,-6,80,NA,-44,13
"Alytaus apskr.",2020-04-24,-42,-5,92,NA,-42,12
"Alytaus apskr.",2020-04-25,-50,-10,62,NA,-24,NA
"Alytaus apskr.",2020-04-26,-44,-14,87,NA,-17,NA
"Alytaus apskr.",2020-04-27,-38,-3,125,NA,-39,11
"Alytaus apskr.",2020-04-28,-36,4,113,NA,-39,9
"Alytaus apskr.",2020-04-29,-38,0,63,NA,-39,12
"Alytaus apskr.",2020-04-30,-23,24,106,NA,-37,7
"Alytaus apskr.",2020-05-01,-43,1,190,NA,-72,NA
"Alytaus apskr.",2020-05-02,-38,5,63,NA,-23,NA
"Alytaus apskr.",2020-05-03,-24,25,100,NA,1,NA
"Alytaus apskr.",2020-05-04,-37,-7,94,NA,-37,10
"Alytaus apskr.",2020-05-05,-33,3,97,NA,-36,9
"Alytaus apskr.",2020-05-06,-36,4,42,NA,-38,13
"Alytaus apskr.",2020-05-07,-31,7,70,NA,-35,10
"Alytaus apskr.",2020-05-08,-28,12,119,NA,-34,8
"Alytaus apskr.",2020-05-09,-31,18,124,NA,-4,NA
"Alytaus apskr.",2020-05-10,-25,22,155,NA,7,NA
"Alytaus apskr.",2020-05-11,-27,11,54,NA,-34,10
"Alytaus apskr.",2020-05-12,-30,9,30,NA,-35,13
"Alytaus apskr.",2020-05-13,-32,12,28,NA,-33,12
"Alytaus apskr.",2020-05-14,-28,16,60,NA,-31,9
"Alytaus apskr.",2020-05-15,-31,24,97,NA,-29,7
"Alytaus apskr.",2020-05-16,-35,24,55,NA,-7,NA
"Alytaus apskr.",2020-05-17,-42,18,58,NA,3,NA
"Alytaus apskr.",2020-05-18,-29,20,64,NA,-28,8
"Alytaus apskr.",2020-05-19,-32,16,42,NA,-28,10
"Alytaus apskr.",2020-05-20,-29,30,85,NA,-27,7
"Alytaus apskr.",2020-05-21,-29,27,58,NA,-29,8
"Alytaus apskr.",2020-05-22,-39,39,102,NA,-25,6
"Alytaus apskr.",2020-05-23,-37,43,148,NA,8,NA
"Alytaus apskr.",2020-05-24,-52,36,55,NA,3,NA
"Alytaus apskr.",2020-05-25,-35,37,106,NA,-25,6
"Alytaus apskr.",2020-05-26,-36,39,118,NA,-23,5
"Alytaus apskr.",2020-05-27,-34,44,111,NA,-22,4
