"end","r","p"
2020-03-18,0.725289989072951,0.739347641879965
2020-03-19,0.563154036275983,0.851075213270522
2020-03-20,0.450512580819265,0.943179370489943
2020-03-21,0.395439812196187,0.99999999480464
2020-03-22,0.489131193543452,0.920518895526735
2020-03-23,0.595043533033235,0.855120835094915
2020-03-24,0.52742370883628,0.892797457518494
2020-03-25,0.920077899631358,0.72944603640522
2020-03-26,1.0169122952623,0.701694866707694
2020-03-27,1.32847907210603,0.630534593764931
2020-03-28,1.39551824966934,0.617874989428052
2020-03-29,1.5963318476157,0.584377457345845
2020-03-30,1.76752301245617,0.559641066673882
2020-03-31,1.95505942461834,0.535710968327743
2020-04-01,1.87761433578112,0.545066017828614
2020-04-02,2.12933848854637,0.516579515941384
2020-04-03,2.00630595051214,0.529787437534383
2020-04-04,2.38457361023402,0.492097747596639
2020-04-05,2.85497384776056,0.453123180746547
2020-04-06,3.22959052054307,0.426629751427729
2020-04-07,3.67507089138602,0.399082285373761
2020-04-08,3.93055632840207,0.384858959422593
2020-04-09,4.14623275600105,0.37368617734192
2020-04-10,4.67878367566026,0.348601470050214
2020-04-11,5.2047880419907,0.32656479042701
2020-04-12,6.1380980882075,0.292517094405041
2020-04-13,7.13571849962374,0.261400173218118
2020-04-14,7.79141339575807,0.243269409512171
2020-04-15,7.96723348098789,0.238687456077542
2020-04-16,8.62476101718061,0.222533692568979
2020-04-17,7.25539240213289,0.25726212316037
2020-04-18,6.92145438947919,0.266566027676941
2020-04-19,7.40447642179253,0.253362907479001
2020-04-20,8.04372636085265,0.237211182174292
2020-04-21,8.68262601761877,0.222328184267613
2020-04-22,9.13690773707769,0.212430038178266
2020-04-23,10.0854839869861,0.193268733756286
2020-04-24,10.9171316696882,0.177923394915996
2020-04-25,11.9037238336082,0.16118822331144
2020-04-26,12.9484425688138,0.144907947934186
2020-04-27,14.2653122735863,0.126168681290098
2020-04-28,14.4684940272379,0.123422486420706
2020-04-29,15.6123147682141,0.108794896754198
2020-04-30,16.5694236770759,0.0973437144249885
2020-05-01,17.9054472959527,0.0824538574068006
2020-05-02,19.4384209943434,0.0666891198768214
2020-05-03,20.7257916410403,0.0543838336607441
2020-05-04,22.3496284563513,0.0399140542363539
2020-05-05,23.9699592473035,0.0265021983706293
2020-05-06,25.6247192374072,0.0137070898483212
2020-05-07,27.503623189219,0.000185116205416608
2020-05-08,27.1930564890227,2.45635521504773e-07
2020-05-09,27.464209680637,1.0337894035755e-06
2020-05-10,27.1033040814297,8.63458335315909e-08
2020-05-11,26.749041835142,2.52061259632182e-08
2020-05-12,26.5420479691395,2.22495556889252e-08
2020-05-13,26.2112049170649,8.29645609764502e-08
2020-05-14,25.9856451184506,1.26321966059237e-08
2020-05-15,25.7495258435212,7.1536633047965e-09
2020-05-16,25.4615463686847,5.66950025760609e-08
2020-05-17,25.1646979191679,5.88523405199938e-09
