"day","end","incidence","confirmed"
2020-03-11,2020-04-08,2,3
2020-03-12,2020-04-08,2,5
2020-03-13,2020-04-08,3,8
2020-03-14,2020-04-08,4,12
2020-03-15,2020-04-08,7,19
2020-03-16,2020-04-08,9,28
2020-03-17,2020-04-08,13,41
2020-03-18,2020-04-08,16,57
2020-03-19,2020-04-08,20,77
2020-03-20,2020-04-08,25,102
2020-03-21,2020-04-08,29,131
2020-03-22,2020-04-08,34,165
2020-03-23,2020-04-08,38,203
2020-03-24,2020-04-08,43,246
2020-03-25,2020-04-08,47,293
2020-03-26,2020-04-08,50,343
2020-03-27,2020-04-08,52,395
2020-03-28,2020-04-08,54,449
2020-03-29,2020-04-08,55,504
2020-03-30,2020-04-08,55,559
2020-03-31,2020-04-08,55,614
2020-04-01,2020-04-08,53,667
2020-04-02,2020-04-08,52,719
2020-04-03,2020-04-08,49,768
2020-04-04,2020-04-08,46,814
2020-04-05,2020-04-08,43,857
2020-04-06,2020-04-08,40,897
2020-04-07,2020-04-08,37,934
2020-04-08,2020-04-08,34,968
2020-04-09,2020-04-08,30,998
2020-04-10,2020-04-08,27,1025
2020-04-11,2020-04-08,25,1050
2020-04-12,2020-04-08,22,1072
2020-04-13,2020-04-08,20,1092
2020-04-14,2020-04-08,17,1109
2020-04-15,2020-04-08,17,1126
2020-04-16,2020-04-08,16,1142
2020-04-17,2020-04-08,17,1159
2020-04-18,2020-04-08,17,1176
2020-04-19,2020-04-08,19,1195
2020-04-20,2020-04-08,21,1216
2020-04-21,2020-04-08,24,1240
2020-04-22,2020-04-08,27,1267
2020-04-23,2020-04-08,30,1297
2020-04-24,2020-04-08,34,1331
2020-04-25,2020-04-08,37,1368
2020-04-26,2020-04-08,41,1409
2020-04-27,2020-04-08,44,1453
2020-04-28,2020-04-08,47,1500
2020-04-29,2020-04-08,49,1549
2020-04-30,2020-04-08,50,1599
2020-05-01,2020-04-08,51,1650
2020-05-02,2020-04-08,51,1701
2020-05-03,2020-04-08,50,1751
2020-05-04,2020-04-08,48,1799
2020-05-05,2020-04-08,46,1845
2020-05-06,2020-04-08,44,1889
2020-05-07,2020-04-08,41,1930
2020-05-08,2020-04-08,38,1968
2020-03-11,2020-04-09,2,3
2020-03-12,2020-04-09,2,5
2020-03-13,2020-04-09,3,8
2020-03-14,2020-04-09,5,13
2020-03-15,2020-04-09,7,20
2020-03-16,2020-04-09,10,30
2020-03-17,2020-04-09,13,43
2020-03-18,2020-04-09,17,60
2020-03-19,2020-04-09,21,81
2020-03-20,2020-04-09,25,106
2020-03-21,2020-04-09,30,136
2020-03-22,2020-04-09,34,170
2020-03-23,2020-04-09,39,209
2020-03-24,2020-04-09,43,252
2020-03-25,2020-04-09,47,299
2020-03-26,2020-04-09,50,349
2020-03-27,2020-04-09,52,401
2020-03-28,2020-04-09,54,455
2020-03-29,2020-04-09,55,510
2020-03-30,2020-04-09,55,565
2020-03-31,2020-04-09,54,619
2020-04-01,2020-04-09,53,672
2020-04-02,2020-04-09,51,723
2020-04-03,2020-04-09,49,772
2020-04-04,2020-04-09,46,818
2020-04-05,2020-04-09,43,861
2020-04-06,2020-04-09,41,902
2020-04-07,2020-04-09,39,941
2020-04-08,2020-04-09,38,979
2020-04-09,2020-04-09,37,1016
2020-04-10,2020-04-09,37,1053
2020-04-11,2020-04-09,37,1090
2020-04-12,2020-04-09,38,1128
2020-04-13,2020-04-09,40,1168
2020-04-14,2020-04-09,42,1210
2020-04-15,2020-04-09,44,1254
2020-04-16,2020-04-09,46,1300
2020-04-17,2020-04-09,49,1349
2020-04-18,2020-04-09,51,1400
2020-04-19,2020-04-09,53,1453
2020-04-20,2020-04-09,54,1507
2020-04-21,2020-04-09,55,1562
2020-04-22,2020-04-09,55,1617
2020-04-23,2020-04-09,54,1671
2020-04-24,2020-04-09,52,1723
2020-04-25,2020-04-09,51,1774
2020-04-26,2020-04-09,48,1822
2020-04-27,2020-04-09,45,1867
2020-04-28,2020-04-09,42,1909
2020-04-29,2020-04-09,39,1948
2020-04-30,2020-04-09,36,1984
2020-05-01,2020-04-09,33,2017
2020-05-02,2020-04-09,29,2046
2020-05-03,2020-04-09,26,2072
2020-05-04,2020-04-09,24,2096
2020-05-05,2020-04-09,21,2117
2020-05-06,2020-04-09,19,2136
2020-05-07,2020-04-09,16,2152
2020-05-08,2020-04-09,14,2166
2020-05-09,2020-04-09,13,2179
2020-03-11,2020-04-10,2,3
2020-03-12,2020-04-10,2,5
2020-03-13,2020-04-10,3,8
2020-03-14,2020-04-10,4,12
2020-03-15,2020-04-10,7,19
2020-03-16,2020-04-10,9,28
2020-03-17,2020-04-10,12,40
2020-03-18,2020-04-10,16,56
2020-03-19,2020-04-10,20,76
2020-03-20,2020-04-10,25,101
2020-03-21,2020-04-10,29,130
2020-03-22,2020-04-10,34,164
2020-03-23,2020-04-10,38,202
2020-03-24,2020-04-10,43,245
2020-03-25,2020-04-10,47,292
2020-03-26,2020-04-10,50,342
2020-03-27,2020-04-10,53,395
2020-03-28,2020-04-10,54,449
2020-03-29,2020-04-10,55,504
2020-03-30,2020-04-10,55,559
2020-03-31,2020-04-10,55,614
2020-04-01,2020-04-10,53,667
2020-04-02,2020-04-10,51,718
2020-04-03,2020-04-10,49,767
2020-04-04,2020-04-10,46,813
2020-04-05,2020-04-10,43,856
2020-04-06,2020-04-10,40,896
2020-04-07,2020-04-10,38,934
2020-04-08,2020-04-10,36,970
2020-04-09,2020-04-10,35,1005
2020-04-10,2020-04-10,34,1039
2020-04-11,2020-04-10,34,1073
2020-04-12,2020-04-10,35,1108
2020-04-13,2020-04-10,36,1144
2020-04-14,2020-04-10,38,1182
2020-04-15,2020-04-10,40,1222
2020-04-16,2020-04-10,43,1265
2020-04-17,2020-04-10,46,1311
2020-04-18,2020-04-10,49,1360
2020-04-19,2020-04-10,52,1412
2020-04-20,2020-04-10,55,1467
2020-04-21,2020-04-10,57,1524
2020-04-22,2020-04-10,58,1582
2020-04-23,2020-04-10,59,1641
2020-04-24,2020-04-10,59,1700
2020-04-25,2020-04-10,59,1759
2020-04-26,2020-04-10,57,1816
2020-04-27,2020-04-10,55,1871
2020-04-28,2020-04-10,53,1924
2020-04-29,2020-04-10,50,1974
2020-04-30,2020-04-10,47,2021
2020-05-01,2020-04-10,43,2064
2020-05-02,2020-04-10,40,2104
2020-05-03,2020-04-10,36,2140
2020-05-04,2020-04-10,33,2173
2020-05-05,2020-04-10,30,2203
2020-05-06,2020-04-10,27,2230
2020-05-07,2020-04-10,24,2254
2020-05-08,2020-04-10,21,2275
2020-05-09,2020-04-10,19,2294
2020-05-10,2020-04-10,16,2310
2020-03-11,2020-04-11,2,3
2020-03-12,2020-04-11,2,5
2020-03-13,2020-04-11,3,8
2020-03-14,2020-04-11,5,13
2020-03-15,2020-04-11,7,20
2020-03-16,2020-04-11,10,30
2020-03-17,2020-04-11,13,43
2020-03-18,2020-04-11,17,60
2020-03-19,2020-04-11,21,81
2020-03-20,2020-04-11,25,106
2020-03-21,2020-04-11,29,135
2020-03-22,2020-04-11,34,169
2020-03-23,2020-04-11,38,207
2020-03-24,2020-04-11,42,249
2020-03-25,2020-04-11,46,295
2020-03-26,2020-04-11,49,344
2020-03-27,2020-04-11,52,396
2020-03-28,2020-04-11,54,450
2020-03-29,2020-04-11,55,505
2020-03-30,2020-04-11,55,560
2020-03-31,2020-04-11,55,615
2020-04-01,2020-04-11,54,669
2020-04-02,2020-04-11,52,721
2020-04-03,2020-04-11,50,771
2020-04-04,2020-04-11,47,818
2020-04-05,2020-04-11,45,863
2020-04-06,2020-04-11,42,905
2020-04-07,2020-04-11,39,944
2020-04-08,2020-04-11,36,980
2020-04-09,2020-04-11,33,1013
2020-04-10,2020-04-11,30,1043
2020-04-11,2020-04-11,27,1070
2020-04-12,2020-04-11,24,1094
2020-04-13,2020-04-11,22,1116
2020-04-14,2020-04-11,19,1135
2020-04-15,2020-04-11,17,1152
2020-04-16,2020-04-11,15,1167
2020-04-17,2020-04-11,14,1181
2020-04-18,2020-04-11,12,1193
2020-04-19,2020-04-11,11,1204
2020-04-20,2020-04-11,9,1213
2020-04-21,2020-04-11,8,1221
2020-04-22,2020-04-11,7,1228
2020-04-23,2020-04-11,6,1234
2020-04-24,2020-04-11,6,1240
2020-04-25,2020-04-11,5,1245
2020-04-26,2020-04-11,4,1249
2020-04-27,2020-04-11,4,1253
2020-04-28,2020-04-11,3,1256
2020-04-29,2020-04-11,3,1259
2020-04-30,2020-04-11,3,1262
2020-05-01,2020-04-11,4,1266
2020-05-02,2020-04-11,6,1272
2020-05-03,2020-04-11,7,1279
2020-05-04,2020-04-11,9,1288
2020-05-05,2020-04-11,12,1300
2020-05-06,2020-04-11,15,1315
2020-05-07,2020-04-11,19,1334
2020-05-08,2020-04-11,23,1357
2020-05-09,2020-04-11,27,1384
2020-05-10,2020-04-11,31,1415
2020-05-11,2020-04-11,35,1450
2020-03-11,2020-04-12,2,3
2020-03-12,2020-04-12,2,5
2020-03-13,2020-04-12,3,8
2020-03-14,2020-04-12,4,12
2020-03-15,2020-04-12,7,19
2020-03-16,2020-04-12,9,28
2020-03-17,2020-04-12,13,41
2020-03-18,2020-04-12,16,57
2020-03-19,2020-04-12,20,77
2020-03-20,2020-04-12,25,102
2020-03-21,2020-04-12,29,131
2020-03-22,2020-04-12,34,165
2020-03-23,2020-04-12,39,204
2020-03-24,2020-04-12,43,247
2020-03-25,2020-04-12,47,294
2020-03-26,2020-04-12,50,344
2020-03-27,2020-04-12,53,397
2020-03-28,2020-04-12,55,452
2020-03-29,2020-04-12,56,508
2020-03-30,2020-04-12,56,564
2020-03-31,2020-04-12,55,619
2020-04-01,2020-04-12,54,673
2020-04-02,2020-04-12,52,725
2020-04-03,2020-04-12,50,775
2020-04-04,2020-04-12,47,822
2020-04-05,2020-04-12,44,866
2020-04-06,2020-04-12,41,907
2020-04-07,2020-04-12,37,944
2020-04-08,2020-04-12,34,978
2020-04-09,2020-04-12,31,1009
2020-04-10,2020-04-12,28,1037
2020-04-11,2020-04-12,25,1062
2020-04-12,2020-04-12,22,1084
2020-04-13,2020-04-12,20,1104
2020-04-14,2020-04-12,18,1122
2020-04-15,2020-04-12,16,1138
2020-04-16,2020-04-12,14,1152
2020-04-17,2020-04-12,12,1164
2020-04-18,2020-04-12,11,1175
2020-04-19,2020-04-12,9,1184
2020-04-20,2020-04-12,8,1192
2020-04-21,2020-04-12,7,1199
2020-04-22,2020-04-12,6,1205
2020-04-23,2020-04-12,5,1210
2020-04-24,2020-04-12,5,1215
