"day","laboratory","tested_all","tested_mobile","negative_all","negative_mobile","positive_all","positive_mobile","positive_retested","positive_new","not_tested","not_tested_mobile"
"2020-04-01","Klaipėdos universitetinės ligoninės laboratorija",236,159,213,157,23,2,0,23,NA,NA
"2020-04-01","LSMU ligoninės Kauno klinikų laboratorija",841,491,825,479,16,12,0,16,0,0
"2020-04-01","Nacionalinė visuomenės sveikatos priežiūros laboratorija",250,101,237,92,13,9,0,13,1153,992
"2020-04-01","Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija",379,0,371,0,8,0,0,8,200,0
"2020-04-01","Respublikinės Šiaulių ligoninės laboratorija",194,134,191,132,3,2,0,3,338,244
"2020-04-01","UAB „Medicina practica laboratorija“",190,0,190,0,0,0,0,0,524,0
"2020-04-01","UAB „SK Impeks Medicinos diagnostikos centras“",42,42,40,40,2,2,0,2,58,57
"2020-04-01","VU ligoninės Santaros klinikų laboratorija",312,146,302,144,10,2,7,3,74,0
"2020-04-02","Klaipėdos universitetinės ligoninės laboratorija",222,63,218,61,4,2,0,4,158,0
"2020-04-02","LSMU ligoninės Kauno klinikų laboratorija",825,321,814,311,11,10,0,11,0,0
"2020-04-02","Nacionalinė visuomenės sveikatos priežiūros laboratorija",294,138,285,138,9,0,0,9,1113,1038
"2020-04-02","Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija",558,372,548,364,10,8,0,10,400,0
"2020-04-02","Respublikinės Šiaulių ligoninės laboratorija",289,221,282,216,7,5,0,7,963,884
"2020-04-02","UAB „Diagnostikos laboratorija“",47,0,47,0,0,0,0,0,1,0
"2020-04-02","UAB „Medicina practica laboratorija“",82,0,82,0,0,0,0,0,624,0
"2020-04-02","UAB „SK Impeks Medicinos diagnostikos centras“",55,55,53,53,2,2,0,2,3,2
"2020-04-02","VU ligoninės Santaros klinikų laboratorija",437,151,430,148,7,3,3,4,26,8
"2020-04-03","Klaipėdos universitetinės ligoninės laboratorija",276,54,249,48,27,6,0,27,150,42
"2020-04-03","LSMU ligoninės Kauno klinikų laboratorija",853,369,845,364,8,5,0,8,350,0
"2020-04-03","Nacionalinė visuomenės sveikatos priežiūros laboratorija",301,104,286,93,15,11,0,15,241,0
"2020-04-03","Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija",548,0,541,0,7,0,0,7,60,0
"2020-04-03","Nacionalinio vėžio instituto laboratorija",83,0,83,0,0,0,0,0,189,0
"2020-04-03","Respublikinės Šiaulių ligoninės laboratorija",291,179,277,177,14,2,4,10,605,555
"2020-04-03","UAB „Baltic Medics“",14,13,13,13,1,0,1,0,0,0
"2020-04-03","UAB „Diagnostikos laboratorija“",55,40,53,38,2,2,0,2,50,0
"2020-04-03","UAB „Medicina practica laboratorija“",204,0,203,0,1,0,0,1,420,0
"2020-04-03","VU ligoninės Santaros klinikų laboratorija",319,21,309,20,10,1,5,5,7,0
"2020-04-04","Klaipėdos universitetinės ligoninės laboratorija",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-04-04","LSMU ligoninės Kauno klinikų laboratorija",869,553,862,550,7,3,3,4,66,0
"2020-04-04","Nacionalinė visuomenės sveikatos priežiūros laboratorija",252,28,244,25,8,3,0,8,177,0
"2020-04-04","Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija",414,169,402,163,12,6,3,9,0,0
"2020-04-04","Nacionalinio vėžio instituto laboratorija",193,0,185,0,8,0,0,8,0,0
"2020-04-04","Respublikinės Šiaulių ligoninės laboratorija",231,171,226,169,5,2,2,3,77,28
"2020-04-04","UAB „Diagnostikos laboratorija“",41,39,40,38,1,1,0,1,0,0
"2020-04-04","UAB „Medicina practica laboratorija“",158,0,158,0,0,0,0,0,481,0
"2020-04-04","VU ligoninės Santaros klinikų laboratorija",111,59,100,58,11,1,4,7,97,76
"2020-04-05","Klaipėdos universitetinės ligoninės laboratorija",80,0,77,0,3,0,0,3,92,0
"2020-04-05","LSMU ligoninės Kauno klinikų laboratorija",349,135,337,129,12,6,1,11,0,0
