"day","laboratory","tested_all","tested_mobile","negative_all","negative_mobile","positive_all","positive_mobile","positive_new","positive_retested","not_tested","not_tested_mobile"
2020-07-17,"VU ligoninės Santaros klinikų laboratorija",773,0,768,0,5,0,NA,NA,1,0
2020-07-17,"Klaipėdos universitetinės ligoninės laboratorija",407,82,406,81,1,1,NA,NA,0,0
2020-07-17,"Nacionalinė visuomenės sveikatos priežiūros laboratorija",49,0,49,0,0,0,NA,NA,40,0
2020-07-17,"Respublikinės Šiaulių ligoninės laboratorija",186,53,186,53,0,0,NA,NA,0,0
2020-07-17,"LSMU ligoninės Kauno klinikų laboratorija",1082,334,1079,331,3,3,NA,NA,0,0
2020-07-17,"Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija",186,92,186,92,0,0,NA,NA,54,54
2020-07-17,"Nacionalinio vėžio instituto laboratorija",106,0,106,0,0,0,NA,NA,0,0
2020-07-17,"UAB „Baltic Medics“",68,25,68,25,0,0,NA,NA,0,0
2020-07-17,"UAB „Diagnostikos laboratorija“ („Antėja“)",153,45,153,45,0,0,NA,NA,44,0
2020-07-17,"UAB „Medicina practica laboratorija“",226,47,223,44,3,3,NA,NA,25,0
2020-07-17,"UAB „SK Impeks Medicinos diagnostikos centras“",80,0,80,0,0,0,NA,NA,0,0
2020-07-17,"Respublikinės Panevėžio ligoninės laboratorija",48,0,48,0,0,0,NA,NA,0,0
