"day","administrative_level_3","confirmed","confirmed_100k","confirmed_14","confirmed_14_100k","confirmed_male","confirmed_female","active","active_100k","recovered","deaths","population","downloaded","updated"
2020-05-22,"Kita",1,0,NA,NA,1,0,1,0,0,0,0,2020-05-23 19:15:42,"2020-05-23 09:05:29"
2020-05-22,"Utenos r.",4,1.1,NA,NA,1,3,1,0.3,3,0,37179,2020-05-23 19:15:42,"2020-05-23 09:03:21"
2020-05-22,"Kaišiadorių r.",3,1,NA,NA,1,2,0,0,3,0,29526,2020-05-23 19:15:42,"2020-05-23 09:03:22"
2020-05-22,"Vilkaviškio r.",7,2,NA,NA,4,3,0,0,6,1,34660,2020-05-23 19:15:42,"2020-05-23 09:03:22"
2020-05-22,"Prienų r.",5,1.9,NA,NA,3,2,0,0,5,0,25802,2020-05-23 19:15:42,"2020-05-23 09:03:23"
2020-05-22,"Jonavos r.",9,2.2,NA,NA,1,8,0,0,9,0,41163,2020-05-23 19:15:42,"2020-05-23 09:03:23"
2020-05-22,"Rietavo",6,8.3,NA,NA,4,2,0,0,6,0,7258,2020-05-23 19:15:42,"2020-05-23 09:03:24"
2020-05-22,"Marijampolės",77,14.3,NA,NA,31,46,4,0.7,69,3,53772,2020-05-23 19:15:42,"2020-05-23 09:03:25"
2020-05-22,"Kauno m.",100,3.5,NA,NA,50,50,15,0.5,82,3,289380,2020-05-23 19:15:42,"2020-05-23 09:03:25"
2020-05-22,"Alytaus m.",28,5.6,NA,NA,17,11,0,0,27,1,49888,2020-05-23 19:15:42,"2020-05-23 09:03:26"
2020-05-22,"Druskininkų",1,0.5,NA,NA,0,1,0,0,1,0,19109,2020-05-23 19:15:42,"2020-05-23 09:03:26"
2020-05-22,"Joniškio r.",15,7.2,NA,NA,8,7,0,0,14,1,20726,2020-05-23 19:15:42,"2020-05-23 09:03:27"
2020-05-22,"Kazlų Rūdos",2,1.8,NA,NA,0,2,1,0.9,1,0,11337,2020-05-23 19:15:42,"2020-05-23 09:03:27"
2020-05-22,"Biržų r.",10,4.4,NA,NA,5,5,0,0,10,0,22718,2020-05-23 19:15:42,"2020-05-23 09:03:28"
2020-05-22,"Šiaulių r.",11,2.7,NA,NA,6,5,1,0.2,9,1,41442,2020-05-23 19:15:42,"2020-05-23 09:03:29"
2020-05-22,"Klaipėdos r.",55,9.1,NA,NA,24,31,11,1.8,41,3,60139,2020-05-23 19:15:42,"2020-05-23 09:03:29"
2020-05-22,"Anykščių r.",6,2.6,NA,NA,2,4,0,0,6,0,23034,2020-05-23 19:15:42,"2020-05-23 09:03:30"
2020-05-22,"Akmenės r.",5,2.7,NA,NA,3,2,0,0,5,0,18764,2020-05-23 19:15:42,"2020-05-23 09:03:30"
2020-05-22,"Molėtų r.",3,1.7,NA,NA,1,2,2,1.2,1,0,17153,2020-05-23 19:15:42,"2020-05-23 09:03:31"
2020-05-22,"Radviliškio r.",3,0.9,NA,NA,2,1,0,0,3,0,34995,2020-05-23 19:15:42,"2020-05-23 09:03:31"
2020-05-22,"Rokiškio r.",3,1.1,NA,NA,0,3,0,0,3,0,28070,2020-05-23 19:15:42,"2020-05-23 09:03:32"
