"day","description","tlk","total","intensive","ventilated","oxygen_mask"
2020-10-04,"Stacionaro lovų skaičius","Vilniaus TLK",4002,177,158,1205
2020-10-04,"Stacionaro lovų skaičius","Kauno TLK",3695,148,138,1121
2020-10-04,"Stacionaro lovų skaičius","Klaipėdos TLK",3468,98,83,1017
2020-10-04,"Stacionaro lovų skaičius","Šiaulių TLK",1930,61,57,965
2020-10-04,"Stacionaro lovų skaičius","Panevėžio TLK",2424,85,66,474
2020-10-04,"Užimtų lovų skaičius","Vilniaus TLK",2752,88,71,422
2020-10-04,"Užimtų lovų skaičius","Kauno TLK",2285,86,29,490
2020-10-04,"Užimtų lovų skaičius","Klaipėdos TLK",2016,59,16,390
2020-10-04,"Užimtų lovų skaičius","Šiaulių TLK",1113,30,11,90
2020-10-04,"Užimtų lovų skaičius","Panevėžio TLK",1633,36,13,212
2020-10-05,"Stacionaro lovų skaičius","Vilniaus TLK",5297,233,211,1746
2020-10-05,"Stacionaro lovų skaičius","Kauno TLK",3949,153,143,1177
2020-10-05,"Stacionaro lovų skaičius","Klaipėdos TLK",3318,92,80,975
2020-10-05,"Stacionaro lovų skaičius","Šiaulių TLK",1809,58,53,920
2020-10-05,"Stacionaro lovų skaičius","Panevėžio TLK",2424,85,66,474
2020-10-05,"Užimtų lovų skaičius","Vilniaus TLK",3715,132,101,861
2020-10-05,"Užimtų lovų skaičius","Kauno TLK",2531,96,30,509
2020-10-05,"Užimtų lovų skaičius","Klaipėdos TLK",1998,59,19,390
2020-10-05,"Užimtų lovų skaičius","Šiaulių TLK",1066,26,13,87
2020-10-05,"Užimtų lovų skaičius","Panevėžio TLK",1645,41,9,224
2020-10-06,"Stacionaro lovų skaičius","Vilniaus TLK",5297,233,211,1746
2020-10-06,"Stacionaro lovų skaičius","Kauno TLK",4241,162,154,1322
2020-10-06,"Stacionaro lovų skaičius","Klaipėdos TLK",3468,98,83,1017
2020-10-06,"Stacionaro lovų skaičius","Šiaulių TLK",2008,64,59,965
2020-10-06,"Stacionaro lovų skaičius","Panevėžio TLK",2617,91,70,490
2020-10-06,"Užimtų lovų skaičius","Vilniaus TLK",3711,133,99,857
2020-10-06,"Užimtų lovų skaičius","Kauno TLK",2786,90,38,527
2020-10-06,"Užimtų lovų skaičius","Klaipėdos TLK",2137,58,19,412
2020-10-06,"Užimtų lovų skaičius","Šiaulių TLK",1177,33,14,86
2020-10-06,"Užimtų lovų skaičius","Panevėžio TLK",1743,39,13,207
2020-10-07,"Stacionaro lovų skaičius","Vilniaus TLK",5283,233,211,1746
2020-10-07,"Stacionaro lovų skaičius","Kauno TLK",4241,162,154,1395
2020-10-07,"Stacionaro lovų skaičius","Klaipėdos TLK",3468,98,83,1017
