"day","confirmed","recovered","deaths","deaths_different","imported","active","hospitalized","intensive","incidence"
"2020-08-21",2594,1766,84,13,489,730,114,3,30
"2020-08-22",2635,1766,84,15,495,769,114,3,41
"2020-08-23",2673,1771,85,15,498,801,115,3,38
"2020-08-24",2695,1788,85,13,500,808,114,3,22
"2020-08-25",2726,1795,85,13,507,832,117,3,32
"2020-08-26",2762,1806,85,13,508,857,119,3,36
"2020-08-27",2810,1821,86,13,512,890,121,3,48
"2020-08-28",2841,1833,86,13,514,906,122,3,31
"2020-08-29",2876,1837,86,13,516,938,122,3,35
"2020-08-30",2906,1845,86,13,517,961,124,3,32
"2020-08-31",2929,1862,86,13,520,967,123,3,23
"2020-09-01",2958,1893,86,13,524,965,117,3,29
"2020-09-02",2978,1907,86,13,526,972,116,3,20
"2020-09-04",3040,1954,86,13,535,987,116,3,36
"2020-09-05",3083,1954,86,13,536,1030,117,3,43
"2020-09-06",3099,1959,86,13,536,1041,120,3,17
"2020-09-07",3131,1996,86,13,541,1036,118,3,32
"2020-09-08",3163,2017,86,14,543,1046,120,3,32
"2020-09-09",3200,2035,86,13,545,1066,118,2,37
"2020-09-10",3243,2052,86,13,548,1092,116,2,44
"2020-09-11",3296,2070,87,13,553,1126,115,2,53
"2020-09-12",3335,2070,87,13,555,1165,116,2,39
"2020-09-13",3386,2088,87,13,557,1198,120,2,51
"2020-09-14",3397,2120,87,14,557,1176,122,2,11
"2020-09-15",3444,2131,87,14,562,1212,130,2,47
"2020-09-16",3505,2160,87,14,568,1244,130,3,63
"2020-09-17",3565,2186,87,14,570,1278,129,2,61
"2020-09-18",3664,2197,87,17,574,1363,151,2,99
"2020-09-19",3745,2198,87,17,575,1443,155,2,81
"2020-09-20",3814,2208,87,17,579,1502,161,2,70
"2020-09-21",3859,2237,87,18,581,1517,164,2,45
"2020-09-22",3933,2248,87,18,584,1580,172,3,74
"2020-09-23",4070,2273,89,19,585,1689,194,2,138
"2020-09-24",4187,2308,89,19,591,1771,193,2,116
"2020-09-25",4295,2326,91,19,592,1859,194,3,111
"2020-09-26",4387,2327,92,19,593,1949,195,3,92
"2020-09-27",4490,2339,92,19,594,2040,200,3,105
"2020-09-28",4579,2354,92,19,598,2114,207,3,88
"2020-09-29",4693,2384,92,19,603,2198,224,3,115
"2020-09-30",4784,2431,92,19,603,2242,223,3,91
"2020-10-01",4956,2471,94,19,607,2372,214,2,172
"2020-10-02",5081,2494,94,19,610,2474,218,2,125
"2020-10-03",5185,2495,94,19,613,2577,222,2,104
"2020-10-04",5285,2519,95,20,614,2651,226,3,100
"2020-10-05",5366,2569,99,21,617,2677,225,3,81
"2020-10-06",5484,2613,101,21,622,2748,222,3,117
"2020-10-07",5625,2679,102,21,629,2823,219,3,142
"2020-10-08",5758,2740,103,22,639,2893,221,3,133
"2020-10-09",5963,2759,103,22,644,3079,238,3,205
"2020-10-10",6122,2778,103,22,646,3219,241,3,160
"2020-10-11",6248,2802,103,22,651,3320,251,4,125
"2020-10-12",6366,2876,106,32,653,3351,246,4,118
"2020-10-13",6506,2969,109,32,657,3393,237,5,140
"2020-10-14",6760,3004,111,32,665,3609,254,6,255
"2020-10-15",7042,3049,113,34,675,3842,273,8,282
"2020-10-16",7270,3097,113,35,676,4021,288,8,228
"2020-10-17",7521,3096,113,35,681,4273,305,8,252
"2020-10-18",7726,3157,116,35,684,4414,308,8,205
"2020-10-19",7930,3351,118,37,690,4421,317,10,202
"2020-10-20",8240,3633,124,37,691,4442,321,11,312
"2020-10-21",8663,3774,125,41,698,4719,340,11,424
"2020-10-22",9104,3986,128,44,703,4946,330,11,442
"2020-10-23",9577,4021,129,46,705,5381,350,11,474
"2020-10-24",10004,4073,134,46,709,5750,369,11,425
"2020-10-25",10906,4141,136,47,716,6580,408,13,722
"2020-10-26",11362,4330,142,52,719,6835,435,17,413
"2020-10-27",12138,4509,145,52,721,7427,464,16,776
"2020-10-28",13088,4583,151,56,721,8294,487,16,950
"2020-10-29",13823,4739,158,57,724,8861,500,17,735
"2020-10-30",14824,4876,165,59,730,9713,544,19,1001
"2020-10-31",15719,4883,166,57,732,10588,579,21,895
"2020-11-01",16557,4891,170,60,735,11405,600,19,837
"2020-11-02",17453,4935,175,61,737,12251,615,18,897
"2020-11-03",18092,5108,182,63,741,12704,665,17,639
"2020-11-04",19091,5285,188,64,745,13525,708,19,999
"2020-11-05",20747,5524,194,67,748,14938,756,20,1656
"2020-11-06",22719,5632,203,68,751,16789,788,20,1972
"2020-11-07",24699,5706,207,69,757,18689,846,21,1980
"2020-11-08",25756,5786,214,71,764,19657,904,23,1056
"2020-11-09",26858,6228,222,76,766,20303,925,25,1139
"2020-11-10",28260,6768,236,84,773,21147,998,27,1432
"2020-11-11",29812,7153,245,92,783,22297,1068,29,1553
"2020-11-12",31872,7476,258,96,790,24017,1144,29,2065
"2020-11-13",33387,7720,269,103,792,25268,1216,32,1531
"2020-11-14",34758,7765,277,110,797,26579,1272,34,1371
"2020-11-15",35911,8076,287,113,800,27411,1306,34,1151
"2020-11-16",36876,8873,306,120,808,27552,1361,35,966
"2020-11-17",38810,9731,328,128,813,28598,1490,34,1935
"2020-11-18",40486,10185,344,139,823,29792,1558,37,1680
"2020-11-19",42758,10560,362,145,833,31663,1649,39,2270
"2020-11-20",44739,10883,377,151,842,33300,1759,41,1982
"2020-11-21",47047,10974,388,156,845,35502,1808,41,2305
"2020-11-22",48223,11285,398,159,849,36355,1904,44,1189
