"day","driving","walking"
2020-01-13,100,100
2020-01-14,98.15,99.21
2020-01-15,102.22,111.09
2020-01-16,107.33,109.1
2020-01-17,120.05,139.24
2020-01-18,112.07,118.85
2020-01-19,96.12,89.11
2020-01-20,99.92,97.36
2020-01-21,101.45,95.41
2020-01-22,103.11,99.04
2020-01-23,105.19,111.65
2020-01-24,123.64,154.41
2020-01-25,115.89,236.75
2020-01-26,94.54,133.6
2020-01-27,97.08,98.16
2020-01-28,101.54,106.41
2020-01-29,100.93,111.79
2020-01-30,100.78,117.81
2020-01-31,118.84,132.92
2020-02-01,108.72,120.02
2020-02-02,98.1,91.49
2020-02-03,98.55,118.32
2020-02-04,104.1,121.49
2020-02-05,105.18,116.64
2020-02-06,109.32,124.78
2020-02-07,127.25,151.09
2020-02-08,115.79,136.21
2020-02-09,103.09,99.69
2020-02-10,105.11,103.8
2020-02-11,106.4,105.84
2020-02-12,107.55,119.82
2020-02-13,115.47,130.76
2020-02-14,140.21,177.29
2020-02-15,123.28,153.64
2020-02-16,105.49,115.37
2020-02-17,112.58,129.57
2020-02-18,117.64,133.57
2020-02-19,119.31,145.73
2020-02-20,122.03,155.83
2020-02-21,133.66,166.49
2020-02-22,123.23,133.12
2020-02-23,98.97,96.14
2020-02-24,104.49,111.14
2020-02-25,102.21,112.22
2020-02-26,106.77,119.02
2020-02-27,106.6,111.79
2020-02-28,118.77,135.53
2020-02-29,103.25,127.53
2020-03-01,95.49,89.62
2020-03-02,97.86,105.42
2020-03-03,101.25,114.6
2020-03-04,101.6,123.39
2020-03-05,107.58,130.11
2020-03-06,126.28,160.11
2020-03-07,118.82,154.24
2020-03-08,99.15,102.21
2020-03-09,98.9,106.61
2020-03-10,109.73,121.21
2020-03-11,95.15,101.45
2020-03-12,84.7,88.89
2020-03-13,92.53,98.36
2020-03-14,70.39,59.88
2020-03-15,63.46,58.12
2020-03-16,52.73,44.17
2020-03-17,55.8,51.72
2020-03-18,50.65,50.55
2020-03-19,51.37,48.2
2020-03-20,55.04,52.91
2020-03-21,51.11,41.93
2020-03-22,45.06,38.47
2020-03-23,46.78,35.98
2020-03-24,50.06,42.73
2020-03-25,50.34,45.9
2020-03-26,53.24,46.81
2020-03-27,58.89,53.3
2020-03-28,63.49,55.77
2020-03-29,40.55,32.29
2020-03-30,45.98,36.46
2020-03-31,48.14,39.1
2020-04-01,48.26,35.72
2020-04-02,46.12,32.78
2020-04-03,54.14,36.35
2020-04-04,57,42.42
2020-04-05,58.35,47.46
2020-04-06,60.23,54.07
2020-04-07,67,61.27
2020-04-08,65.58,58.61
2020-04-09,62.11,50.24
2020-04-10,58.47,52
2020-04-11,34.02,37.65
2020-04-12,27.11,30.03
2020-04-13,38.32,31.9
2020-04-14,56.29,40.01
2020-04-15,56.9,41.11
2020-04-16,62.38,44.37
2020-04-17,69.63,59.71
2020-04-18,63.54,51.89
2020-04-19,60.89,50.47
2020-04-20,65.05,49.5
2020-04-21,66.66,59
2020-04-22,72.72,66.29
2020-04-23,77.46,66.18
2020-04-24,82.51,70.4
2020-04-25,72.23,67.73
2020-04-26,69.65,60.82
2020-04-27,71.41,68.27
2020-04-28,75.05,69.61
2020-04-29,74.24,66.8
2020-04-30,86.29,81.37
2020-05-01,86.19,78.28
2020-05-02,75.11,65.95
2020-05-03,75.74,59.88
2020-05-04,77.15,69.35
2020-05-05,80.61,74.03
2020-05-06,81.78,74.11
2020-05-07,84.28,76.52
2020-05-08,101.32,93.65
2020-05-09,98.77,93.65
2020-05-10,97.26,83.07
2020-05-11,NA,NA
2020-05-12,NA,NA
2020-05-13,80.34,65.86
2020-05-14,90.97,78.68
2020-05-15,105.42,94.9
2020-05-16,90.66,79.22
2020-05-17,78.39,61.3
2020-05-18,88.37,84.52
2020-05-19,91.94,85.31
2020-05-20,97.33,95.12
2020-05-21,99.06,91.04
2020-05-22,125.39,121.04
2020-05-23,120.44,114.91
2020-05-24,89.98,79.3
2020-05-25,100.51,107.97
2020-05-26,103.16,114.01
2020-05-27,108.7,119.71
2020-05-28,107.52,107.03
2020-05-29,131.42,123.5
2020-05-30,118.99,112.59
2020-05-31,121.67,105.67
2020-06-01,114.28,119.08
2020-06-02,111.1,116.44
2020-06-03,114.58,118.37
2020-06-04,121.65,130.68
2020-06-05,147.97,146.64
2020-06-06,129.67,128.01
2020-06-07,111.92,88.15
2020-06-08,118.04,119.34
2020-06-09,118.88,126.25
2020-06-10,129.26,143.01
2020-06-11,136.19,140.23
2020-06-12,168.19,163.57
2020-06-13,146.29,152.59
2020-06-14,132.6,108.22
2020-06-15,132.89,148.8
2020-06-16,140.18,159.14
2020-06-17,143.29,156.99
2020-06-18,148.71,156.11
2020-06-19,175.74,179.02
2020-06-20,157.34,139.44
2020-06-21,145.94,133.71
2020-06-22,153.55,173.18
2020-06-23,172.05,185.65
2020-06-24,151.34,145.85
2020-06-25,156.02,166.97
2020-06-26,183.52,178.17
2020-06-27,155.79,146.56
2020-06-28,167.15,145.7
2020-06-29,147.98,157.02
2020-06-30,159.16,170.94
2020-07-01,159.54,169.61
2020-07-02,165.59,181.94
2020-07-03,198.99,200.68
2020-07-04,190.32,199.12
2020-07-05,170.68,151.97
2020-07-06,169.19,152.37
2020-07-07,167.57,194.33
2020-07-08,168.94,191.41
2020-07-09,176.33,196
2020-07-10,211.35,213.72
2020-07-11,189.13,200.06
2020-07-12,179.38,167.54
2020-07-13,179.61,207.54
2020-07-14,186.95,229.57
2020-07-15,196.32,225.72
2020-07-16,203.56,245.14
2020-07-17,236.39,275.76
2020-07-18,212.15,229.97
2020-07-19,202.03,181.2
2020-07-20,186.14,212.84
2020-07-21,185.92,214.8
2020-07-22,187.99,201.08
2020-07-23,187.66,211.26
2020-07-24,219.38,237.74
2020-07-25,196.76,229.69
2020-07-26,199.27,194.78
2020-07-27,183.02,214.12
2020-07-28,180.76,222.43
2020-07-29,181.58,216.33
2020-07-30,182.59,204.22
2020-07-31,204.59,212.87
2020-08-01,196.19,223.02
2020-08-02,196.66,191.01
